Pavarde        Vardas           Galutinis(Vid)  Galutinis(Med)
Pavarde9267    Vardas9267                 5.20            5.60
Pavarde9268    Vardas9268                 5.30            5.20
Pavarde9269    Vardas9269                 6.10            5.80
Pavarde9270    Vardas9270                 2.80            2.40
Pavarde9271    Vardas9271                 4.70            5.00
Pavarde9272    Vardas9272                 8.30            8.40
Pavarde9273    Vardas9273                 4.10            4.00
Pavarde9274    Vardas9274                 3.60            3.60
Pavarde9275    Vardas9275                 3.60            4.00
Pavarde9276    Vardas9276                 5.70            5.60
Pavarde9277    Vardas9277                 4.70            4.60
Pavarde9278    Vardas9278                 2.70            2.80
Pavarde9279    Vardas9279                 6.40            6.40
Pavarde9280    Vardas9280                 5.60            5.60
Pavarde9281    Vardas9281                 5.00            4.80
Pavarde9282    Vardas9282                 3.10            3.20
Pavarde9283    Vardas9283                 8.20            8.20
Pavarde9284    Vardas9284                 5.80            6.20
Pavarde9285    Vardas9285                 7.70            7.60
Pavarde9286    Vardas9286                 4.30            4.20
Pavarde9287    Vardas9287                 3.40            3.00
Pavarde9288    Vardas9288                 6.60            7.00
Pavarde9289    Vardas9289                 7.60            8.00
Pavarde9290    Vardas9290                 6.40            6.40
Pavarde9291    Vardas9291                 7.70            7.60
Pavarde9292    Vardas9292                 5.00            4.80
Pavarde9293    Vardas9293                 6.50            6.60
Pavarde9294    Vardas9294                 5.70            5.80
Pavarde9295    Vardas9295                 6.90            6.80
Pavarde9296    Vardas9296                 7.10            7.20
Pavarde9297    Vardas9297                 8.10            7.80
Pavarde9298    Vardas9298                 3.90            3.80
Pavarde9299    Vardas9299                 6.10            6.40
Pavarde9300    Vardas9300                 6.70            6.60
Pavarde9301    Vardas9301                 4.60            5.00
Pavarde9302    Vardas9302                 2.60            2.40
Pavarde9303    Vardas9303                 7.20            7.40
Pavarde9304    Vardas9304                 2.50            2.20
Pavarde9305    Vardas9305                 7.60            7.20
Pavarde9306    Vardas9306                 5.70            5.80
Pavarde9307    Vardas9307                 4.90            5.40
Pavarde9308    Vardas9308                 3.80            3.80
Pavarde9309    Vardas9309                 4.50            5.00
Pavarde9310    Vardas9310                 7.70            7.60
Pavarde9311    Vardas9311                 6.50            6.60
Pavarde9312    Vardas9312                 2.50            2.20
Pavarde9313    Vardas9313                 5.30            5.40
Pavarde9314    Vardas9314                 2.90            2.40
Pavarde9315    Vardas9315                 7.00            7.20
Pavarde9316    Vardas9316                 7.00            7.20
Pavarde9317    Vardas9317                 4.70            4.80
Pavarde9318    Vardas9318                 3.60            3.60
Pavarde9319    Vardas9319                 3.40            3.20
Pavarde9320    Vardas9320                 7.10            7.20
Pavarde9321    Vardas9321                 7.00            6.80
Pavarde9322    Vardas9322                 7.90            8.00
Pavarde9323    Vardas9323                 5.80            5.80
Pavarde9324    Vardas9324                 5.40            5.00
Pavarde9325    Vardas9325                 5.50            5.40
Pavarde9326    Vardas9326                 8.00            8.00
Pavarde9327    Vardas9327                 3.50            3.40
Pavarde9328    Vardas9328                 6.60            7.00
Pavarde9329    Vardas9329                 3.70            3.80
Pavarde9330    Vardas9330                 6.70            6.60
Pavarde9331    Vardas9331                 8.00            7.60
Pavarde9332    Vardas9332                 6.50            6.40
Pavarde9333    Vardas9333                 7.40            7.00
Pavarde9334    Vardas9334                 9.10            9.20
Pavarde9335    Vardas9335                 3.60            3.80
Pavarde9336    Vardas9336                 4.80            5.00
Pavarde9337    Vardas9337                 4.20            4.20
Pavarde9338    Vardas9338                 6.80            7.20
Pavarde9339    Vardas9339                 3.80            3.60
Pavarde9340    Vardas9340                 6.60            6.40
Pavarde9341    Vardas9341                 5.10            5.20
Pavarde9342    Vardas9342                 6.60            6.40
Pavarde9343    Vardas9343                 5.50            5.20
Pavarde9344    Vardas9344                 4.80            5.20
Pavarde9345    Vardas9345                 7.70            7.40
Pavarde9346    Vardas9346                 8.20            8.20
Pavarde9347    Vardas9347                 7.90            8.20
Pavarde9348    Vardas9348                 8.30            8.00
Pavarde9349    Vardas9349                 5.30            5.00
Pavarde9350    Vardas9350                 7.90            8.00
Pavarde9351    Vardas9351                 7.30            7.40
Pavarde9352    Vardas9352                 5.70            6.00
Pavarde9353    Vardas9353                 7.20            7.00
Pavarde9354    Vardas9354                 4.10            4.20
Pavarde9355    Vardas9355                 5.80            6.40
Pavarde9356    Vardas9356                 6.80            6.60
Pavarde9357    Vardas9357                 4.70            5.00
Pavarde9358    Vardas9358                 3.70            3.80
Pavarde9359    Vardas9359                 7.20            7.20
Pavarde9360    Vardas9360                 7.70            7.80
Pavarde9361    Vardas9361                 3.30            3.40
Pavarde9362    Vardas9362                 3.90            3.80
Pavarde9363    Vardas9363                 4.60            4.40
Pavarde9364    Vardas9364                 7.10            7.00
Pavarde9365    Vardas9365                 2.50            2.40
Pavarde9366    Vardas9366                 4.60            4.80
Pavarde9367    Vardas9367                 7.80            7.60
Pavarde9368    Vardas9368                 4.70            4.60
Pavarde9369    Vardas9369                 5.20            5.00
Pavarde9370    Vardas9370                 4.40            4.00
Pavarde9371    Vardas9371                 6.00            5.80
Pavarde9372    Vardas9372                 2.70            2.60
Pavarde9373    Vardas9373                 6.90            7.00
Pavarde9374    Vardas9374                 4.00            3.80
Pavarde9375    Vardas9375                 4.50            4.20
Pavarde9376    Vardas9376                 6.60            6.40
Pavarde9377    Vardas9377                 6.00            6.20
Pavarde9378    Vardas9378                 5.90            6.20
Pavarde9379    Vardas9379                 4.30            4.00
Pavarde9380    Vardas9380                 3.60            3.80
Pavarde9381    Vardas9381                 6.10            5.60
Pavarde9382    Vardas9382                 6.40            6.20
Pavarde9383    Vardas9383                 4.50            4.20
Pavarde9384    Vardas9384                 5.50            6.00
Pavarde9385    Vardas9385                 6.70            6.60
Pavarde9386    Vardas9386                 2.80            2.60
Pavarde9387    Vardas9387                 5.30            5.40
Pavarde9388    Vardas9388                 6.40            6.60
